name,primary_lane,tier,win_rate,pick_rate,ban_rate,description
Arthur,Clash Lane,S,55.2,23.5,40.0,Tank with strong CC, ultimate teamfight changer
Zilong,Clash Lane,A,53.7,19.8,25.0,Fighter with high mobility, effective ganker
Lu Bu,Clash Lane,A,53.9,19.7,24.0,Fighter with high burst and true damage
Dian Wei,Clash Lane,A,53.6,19.0,23.0,Dueling and objective control
Liu Bei,Clash Lane,A,53.2,18.5,20.0,Fighter with sustain, team synergy
Dharma,Clash Lane,A,53.0,17.8,19.0,Tank with multi-CC, defensive tank
Fuzi,Clash Lane,A,52.9,17.5,18.0,Tank with shield, frontline utility
Yao,Clash Lane,A,53.1,18.0,20.0,Tank support hybrid, dual control
Wuyan,Clash Lane,A,53.3,18.2,21.0,Tank with high defense, engage strong
Fatih,Clash Lane,A,52.8,17.3,18.5,Fighter with burst, lane dominator
Musashi,Clash Lane,A,53.4,18.5,22.0,Samurai dueler, 1v1 specialist
Umbrosa,Clash Lane,A,52.7,17.0,17.5,Fighter with shadow, burst damage
Augran,Clash Lane,S,55.2,23.0,40.0,Fighter with sustain, late game carry
Guan Yu,Clash Lane,A,53.5,18.7,23.0,Fighter with mobility, split push expert (Buff Stat)
Luna,Clash Lane,A,53.0,17.6,18.0,Fighter mage hybrid, crescent moon ultimate
Yang Jian,Clash Lane,S,55.3,23.5,35.0,Fighter with high mobility, upgraded mechanics (Upgrade Mekanika)
Nezha,Clash Lane,A,53.7,19.2,24.0,Assassin burst, high mobility
Athena,Clash Lane,A,53.4,18.0,20.5,Tank with shield, team protect (Buff Stat)
Menki,Clash Lane,A,52.6,17.1,17.0,Fighter with agility, gank specialist
Sun Ce,Clash Lane,S,54.9,21.5,33.0,Fighter versatile, great for engage and split push
Charlotte,Clash Lane,A,53.5,18.3,22.5,High mobility, strong in 1v1
Mayene,Clash Lane,A,52.8,17.2,18.0,Fighter with sustain, lane control
Mulan,Clash Lane,A,53.6,18.8,22.0,Adaptive fighter, strong in all phases
Allain,Clash Lane,A,53.1,17.9,19.0,Fighter with sustain, lane dominator
Biron,Clash Lane,A,53.0,17.4,18.5,Tank fighter, peel and engage strong
Kaizer,Clash Lane,A,53.3,18.1,20.0,Fighter with burst, team carry (Buff Stat)
Li Xin,Clash Lane,A,53.2,18.0,19.5,Fighter with dual blades, high damage
Butterfly,Clash Lane,A,53.4,18.3,21.0,Fighter with flutter, burst damage (Buff Stat)
Ying,Clash Lane,A,52.7,17.0,17.5,Fighter with clones, deceptive play
Luban No.7,Farm Lane,A,53.0,18.5,20.0,Marksman with turret, team utility
Hou Yi,Farm Lane,A,53.1,18.7,16.5,Long range, safe laning
Di Renjie,Farm Lane,A,53.2,18.9,19.0,Marksman with consistent poke, long range
Flowborn,Farm Lane,A,52.9,17.6,18.0,Marksman with agility, burst damage
Erin,Farm Lane,A,53.1,18.2,17.5,Marksman with shield, safe play
Chano,Farm Lane,A,52.8,17.4,17.0,Marksman with mobility, poke specialist
Shouyue,Farm Lane,A,52.6,17.1,16.5,Marksman with lunar skill, late game
Garo,Farm Lane,A,53.3,18.8,19.5,Marksman with trap, burst damage
Alessio,Farm Lane,A,52.7,17.3,17.0,Marksman with dual shot, consistent damage
Ao’yin,Farm Lane,A,53.0,18.0,18.0,Marksman with dragon form, burst damage skill Marksman
